CYP46A1	CYP4F8	CYP2U1	CYP2R1	CYP4F22	CYP1A1	CYP1A2	CYP1B1	CYP2A6	CYP2A7	CYP3A7	CYP2A13	CYP2B6	CYP2B7P1	CYP2C19	CYP2C8	CYP2C9	CYP2C18	CYP2E1	CYP2J2	CYP3A4	CYP3A5	CYP4A11	CYP4B1	CYP7A1	CYP8B1	CYP11A1	CYP11B1	CYP11B2	CYP17A1	CYP19A1	CYP21A2	CYP24A1	CYP26A1	CYP27A1	CYP27B1	CYP51A1	CYP4Z2P	CYP4Z1	CYP4X1	CYP1B1-AS1	CYP4V2	CYP2S1	CYP27C1	CYP39A1	CYP2W1	CYP26B1	CYP20A1	CYP4F11	CYP3A43	CYP4F12	CYP4F2	CYP7B1
EFO27_OVARY	4.240435	3.770949	7.076557	8.862838	4.050491	7.642583	5.357557	4.402838	5.548888	3.864086	3.635343	6.469979	4.130766	5.385149	4.689241	3.559934	4.122821	4.065864	4.063812	5.334964	5.274922	5.040424	3.907601	3.692672	3.523958	3.785807	3.875657	3.687041	4.801767	4.079151	4.423377	4.70073	3.95008	6.094573	5.585667	5.451104	6.677434	3.988978	4.000091	3.883574	3.497223	4.975986	6.391506	5.855142	4.006418	3.861701	6.55043	7.063001	4.238876	3.936187	5.467485	4.332988	3.687828
A2780_OVARY	4.389311	3.545893	5.422248	7.602191	3.944825	5.527755	5.077617	11.78799	5.282093	3.425626	3.911658	6.079524	4.358203	5.445185	4.428259	3.711657	4.715375	3.768749	4.861422	4.029536	5.155092	4.470217	5.191375	4.037396	3.729399	3.897313	4.30237	3.586703	4.502856	4.080466	4.287145	4.604746	3.584985	4.699724	5.769382	6.201223	9.361625	3.607375	3.840132	3.850321	4.085645	5.914792	4.341378	5.669871	3.771313	3.549177	4.619061	8.196059	3.689082	3.967249	4.503817	4.41968	3.556185
NCIH196_LUNG	3.959786	3.489429	7.052509	7.942776	3.673495	5.486605	5.230666	10.67627	5.358393	3.77851	3.835075	5.798833	4.354217	5.498885	4.83619	3.994426	4.505916	3.872146	3.982921	3.784571	4.713667	4.464944	3.521435	3.883924	3.722536	3.973956	3.833983	3.731742	4.500176	4.413245	4.462241	5.457434	4.192653	4.984038	5.390978	5.492064	8.651931	3.889305	3.518209	3.542285	3.717646	4.820984	3.982115	4.662823	3.821802	3.460809	4.185675	7.735578	3.547932	3.768253	4.238889	4.244776	3.789486
IGROV1_OVARY	4.307011	3.787547	5.11761	7.799223	3.809718	6.389765	5.233535	4.851706	5.603812	3.84423	3.839474	6.398909	4.08764	5.564698	4.874544	3.543776	6.705002	7.030093	3.997934	4.801894	4.993206	4.659388	6.006011	4.17025	3.667308	4.994427	3.887454	3.770825	4.553182	4.002205	4.46509	5.364237	3.704717	4.742939	6.074794	4.938696	8.613905	3.656663	3.793514	3.908669	3.697298	4.329127	4.854321	3.810745	4.043359	3.55449	4.618038	7.421126	3.427628	3.986116	4.727332	4.313807	3.759087
NCIH889_LUNG	4.674811	3.748612	7.06278	8.077159	3.559742	7.893105	5.190222	7.53027	5.457663	3.816431	3.727657	6.249909	4.236821	5.416212	4.400851	3.582484	4.586756	3.797008	3.985549	6.677207	5.061615	4.579594	4.359203	3.706085	3.415384	3.872312	3.68397	3.648588	4.616344	3.893728	4.427413	4.773902	3.307786	3.96098	6.371004	5.875048	9.819365	3.897898	3.695366	3.454172	3.362853	4.406122	3.86674	3.762526	3.688076	3.578901	4.224123	7.26897	3.353175	4.078165	4.686459	4.363012	4.100717
NCIH211_LUNG	3.969191	3.871089	6.183345	9.244429	3.675683	5.210722	4.873846	9.526179	5.689554	3.755009	4.500795	6.495154	4.286775	5.300954	4.497866	3.513961	4.869381	3.98209	3.8551	6.204197	5.041328	5.06039	4.35606	3.92662	3.759372	4.651086	3.660454	3.728604	5.108283	4.164336	4.245223	4.760571	3.640318	5.2672	6.097653	5.747861	9.918736	4.000015	3.705998	3.431051	3.79574	4.601047	4.054209	3.926729	4.509086	3.991667	4.064536	8.208666	3.308202	3.974745	4.367057	4.247319	3.610287
HS571T_OVARY	4.069382	3.715675	8.672201	6.934823	3.549018	6.297313	5.458297	11.75118	5.418808	3.450096	3.777935	6.083716	4.647403	5.69362	4.111056	3.63416	4.410787	3.818856	4.439822	4.353073	4.723176	4.606528	3.780028	3.804296	3.866896	3.803637	3.66164	3.883137	4.422094	4.302919	4.199016	4.897291	3.485337	4.311902	5.767501	5.318759	9.229845	3.609852	3.744277	3.554389	3.634233	6.709209	4.01834	4.534948	4.09046	3.433346	5.159551	8.07254	3.962984	4.00709	4.471652	4.43233	3.376067
MDAPCA2B_PROSTATE	4.350906	10.93677	8.63254	9.038727	4.582693	6.131105	5.133714	9.414082	5.005866	3.165395	3.876671	5.771137	4.080773	5.616379	4.572952	3.698698	4.549782	3.836359	4.092933	6.931905	4.951518	4.388743	3.627998	3.937178	3.581896	3.822648	5.90405	3.702656	4.397141	3.624275	4.03401	4.755565	3.5188	4.285239	5.884391	5.414551	9.806453	4.916802	4.2629	4.182682	3.831839	5.277921	3.691544	3.739417	7.424905	3.277844	4.095999	7.468077	4.682632	4.035182	5.16433	4.626179	3.544827
SKMEL24_SKIN	4.406481	3.795143	7.661946	7.979479	3.856214	5.034418	4.973832	3.865952	5.492823	4.871423	3.886034	6.088245	4.16199	5.434507	4.517833	3.366518	4.489965	3.971745	4.307115	6.419672	5.079566	4.786913	3.52851	3.703895	3.826224	4.198652	3.54776	3.654684	4.312816	4.391113	5.162674	5.162674	3.249565	4.236361	8.567249	5.112696	9.409696	3.546118	3.665996	3.412292	3.316645	7.018931	4.084057	4.015337	4.05054	3.835524	4.40852	7.51696	3.485655	3.934531	4.406408	4.208553	7.359473
K029AX_SKIN	4.109878	3.670317	6.773993	7.556844	3.540577	8.285847	4.954925	4.131693	5.384309	3.98141	3.792088	6.100558	4.255891	5.625543	4.557581	3.596583	4.428801	3.908694	3.724889	4.235635	4.840517	4.745573	5.200558	3.838093	3.62478	4.052466	3.882295	3.660063	4.480158	4.283424	4.359743	4.349049	3.517533	4.136118	9.579392	5.686842	9.44229	3.886634	3.477487	3.348902	3.269442	6.24014	3.842657	4.015757	4.361976	3.826849	4.63246	7.617026	3.473132	4.095276	4.418245	4.242322	4.66584
HT1376_URINARY_TRACT	4.283802	3.660132	5.67611	6.720911	3.841602	12.32559	6.286518	6.211495	5.51598	3.957292	3.916493	6.194934	4.358892	5.489804	4.450155	3.841114	4.463404	3.801287	3.847634	8.149912	4.685909	4.591642	4.183933	4.953641	3.507509	4.267238	5.132795	3.49259	4.648042	4.001635	4.164148	4.825736	5.497362	4.513519	5.285631	5.477938	8.012131	3.894297	3.753783	3.726409	3.459438	4.710819	3.724748	6.292436	4.515102	3.621733	4.605806	7.160697	3.474709	3.959449	4.642583	4.273652	4.232859
NCIH2171_LUNG	5.06004	3.572208	5.225561	6.490755	3.599951	4.839636	5.386993	5.284047	5.604403	3.831648	3.796437	6.283328	4.598767	5.457652	4.433969	3.609857	4.428071	4.002791	3.845325	5.872901	4.932647	4.821711	4.866143	3.933224	3.63011	3.930845	4.340895	3.746695	4.466234	3.977992	4.192528	4.471146	4.052021	4.461069	6.293308	5.516054	8.465347	3.95999	3.609681	3.540438	3.659972	4.810147	3.971251	4.432937	3.616322	3.87837	4.778469	7.023308	3.603195	3.955106	4.471506	4.365679	3.853443
PANC1005_PANCREAS	4.581816	3.578987	6.388859	8.015766	3.714378	6.809971	5.258885	5.951882	5.667935	3.866869	3.786676	6.346815	4.316059	5.450069	4.749183	3.464567	4.374945	4.106593	4.0868	5.472602	4.845636	5.146854	4.930447	4.149112	3.743941	4.180916	4.203719	3.654726	4.502153	4.010708	4.234582	4.557596	4.286325	4.377706	5.498057	5.509831	9.566052	3.761449	3.407596	3.863038	3.834133	6.915686	6.399398	3.832303	4.052939	3.781243	4.238291	8.015359	4.889441	3.981614	4.542872	3.997048	3.829847
EVSAT_BREAST	4.307499	4.028975	5.46213	9.097019	3.510503	5.38347	5.431636	6.655802	5.616781	3.759356	4.083956	6.440233	4.479865	5.367741	4.344391	3.667582	4.7496	3.97869	3.98049	9.076926	4.996794	4.821864	4.044436	9.969396	3.619344	4.20328	4.094908	3.809401	5.051092	4.268119	4.205585	4.754741	3.56062	4.46293	5.560891	6.056277	10.52603	8.018778	9.363549	9.257297	3.510373	4.811358	4.614214	3.852881	4.095584	3.481598	4.090592	8.971107	4.033915	4.246383	4.40248	4.68951	3.569442
HS695T_SKIN	4.31232	3.640181	6.792351	7.775504	3.528934	8.124659	5.196472	4.12323	5.444255	3.520666	3.729906	6.271774	4.392978	5.37669	4.219919	3.627265	4.462623	4.106866	3.98322	5.478662	4.757257	4.53675	3.867054	3.801758	3.781915	4.129923	4.41569	3.784087	4.819247	4.318174	4.269423	5.934923	3.603989	4.678077	7.706815	5.708065	8.983288	3.906603	4.090218	3.983278	3.573029	5.970197	4.06826	7.310057	4.913229	3.914438	5.22476	8.21218	3.784523	3.866793	3.986448	4.330973	4.297388
CHL1_SKIN	3.915293	3.8236	6.937006	8.14792	3.597126	4.644386	5.18315	6.066101	5.284863	3.926104	3.611199	6.093681	4.197137	5.103559	4.113251	3.506689	4.211794	3.833548	3.767073	7.718189	4.680683	4.680774	4.288869	3.559427	3.636652	4.152226	4.05786	3.590091	4.529893	4.153067	3.914679	4.411368	6.096239	4.298679	6.711243	6.088844	8.7171	3.554791	3.341836	3.49603	3.470445	6.324588	3.912622	4.380519	6.015841	3.584282	5.313517	8.273933	3.673705	3.847917	4.243415	4.031872	4.489384
LOUNH91_LUNG	4.377611	3.759235	7.492466	7.876693	3.556814	5.046837	4.997837	11.49344	5.625702	3.539028	3.698883	6.106521	4.377885	5.592778	4.880819	3.467653	4.615106	4.030748	4.036208	4.288756	5.234711	4.547433	4.132296	3.832959	3.685659	3.872421	4.00772	3.684621	4.551359	3.886809	4.264873	5.221429	8.741704	4.05329	5.538334	5.176919	9.062631	3.750673	3.839367	3.379658	4.576225	5.318822	3.954991	3.956328	5.287704	3.589022	4.308049	8.105252	4.239152	4.177623	4.645037	4.222628	3.604894
LK2_LUNG	4.338697	3.909431	7.613188	6.210595	3.866528	6.666677	5.395057	4.465857	5.742572	3.639435	4.0431	6.216849	4.073484	5.581721	4.097413	3.381293	4.299707	3.833666	4.003906	4.627669	5.039119	4.845309	4.564987	3.903324	3.723063	4.138451	4.090435	3.813508	4.747114	3.694607	4.55746	4.556684	4.018766	5.519954	5.661978	5.334981	9.989165	3.826832	4.369726	7.978075	3.628876	5.03551	3.835974	3.84451	4.265289	3.641109	4.273489	8.003801	6.041273	3.962835	4.413276	4.561713	4.508175
TOV21G_OVARY	4.31481	3.959566	7.062021	8.376141	3.721381	5.63444	5.114637	10.10618	5.211515	3.857253	3.753689	5.757611	4.772212	5.685633	4.336686	4.01191	6.64503	5.229448	4.056205	5.528648	5.016551	5.189333	4.270427	3.668563	3.751262	4.20144	3.730964	3.599236	4.206073	3.786576	4.196755	4.847448	3.379193	4.560442	8.79436	5.696386	7.932931	3.740511	3.427981	3.788274	3.852921	6.725529	7.026522	6.495103	3.875821	3.637596	4.126854	7.378352	5.335807	3.854013	4.201407	4.324154	3.481305
SKMEL3_SKIN	3.926527	3.813907	9.288945	8.209524	3.827367	6.809613	5.208043	3.977928	5.415789	4.491257	3.8274	6.259832	4.285489	5.262226	4.191259	3.622609	4.33249	3.883027	3.911908	5.045212	4.822959	5.055908	3.470215	3.718377	3.76624	3.961507	4.002325	3.61713	5.077552	4.402872	4.437274	5.065948	3.630136	4.587175	10.20407	5.313366	9.575811	3.510713	3.475405	3.365736	3.664972	6.336598	4.168819	3.911543	5.57805	3.846559	4.232012	7.809706	3.424268	4.105654	4.380624	4.773155	6.032132
ASPC1_PANCREAS	4.171822	3.681328	5.23672	8.261232	3.88447	5.356407	5.158874	5.277897	5.359636	3.809177	6.870227	6.497176	4.59268	5.83965	4.10001	3.498614	4.594091	4.004175	5.046836	4.093658	5.151308	11.00077	4.72371	3.834552	3.557637	4.175699	3.578179	3.794403	4.671143	4.161624	4.250583	4.523754	3.91503	4.162519	5.849006	5.834531	9.655832	3.8448	3.514758	3.422031	3.596718	6.664065	10.40373	4.509226	5.426979	3.968261	4.323491	8.498892	3.403505	4.424379	6.927573	5.519773	3.488249
OVSAHO_OVARY	4.715386	3.697702	6.894339	6.782803	4.16896	8.341319	5.258799	7.743678	5.591619	3.797075	4.017398	6.2649	4.105117	5.536156	4.411663	3.818909	4.900092	4.017707	5.202691	5.737814	5.075444	4.543016	4.180885	4.092037	3.818909	4.223732	3.720735	3.521435	5.116202	4.056773	4.696125	5.7081	3.678659	4.256935	5.543372	5.388134	9.396562	3.826905	3.851556	5.96044	3.814315	4.726726	4.9151	4.229077	3.985146	3.884203	4.438131	7.171394	6.136876	4.046833	4.421673	4.730681	3.526565
NCIH441_LUNG	4.227596	3.59407	4.721217	8.166463	3.756558	5.302365	5.104076	9.675526	5.705791	3.609176	3.799627	5.910175	4.515334	7.908627	5.174085	3.948138	4.758277	3.910472	4.109151	7.112853	4.981897	5.137426	4.282638	4.884137	3.648845	4.178159	3.938881	3.760886	4.872974	3.908559	4.016264	5.256701	6.148088	4.140544	5.609541	6.640311	7.9431	3.806199	3.525569	3.380682	3.732613	5.023533	4.5511	3.915328	3.828369	3.503193	4.818297	7.243967	3.770202	4.040846	4.377889	4.256481	4.460103
RERFLCSQ1_LUNG	4.664319	3.727647	5.95198	6.731902	3.547989	5.516268	4.864154	6.398485	5.406582	3.956705	3.743815	5.965699	4.230051	5.373492	4.521581	3.608865	4.307935	3.97718	3.874723	3.845431	4.87569	4.598265	3.810781	3.758128	3.765451	4.109219	3.983302	3.599907	4.346804	4.254294	4.164286	4.592943	3.706046	4.179158	5.285451	5.469133	9.505669	3.613985	3.933162	3.662003	3.331886	4.658534	6.655175	4.521581	4.753807	3.855701	5.149835	7.353944	8.63234	3.943903	4.323644	4.456725	3.670568
NCIH2030_LUNG	4.546736	3.578935	5.941888	7.737179	3.545031	7.412959	5.160335	10.53119	5.642478	3.853305	3.772061	6.179966	4.319922	5.095073	4.627427	3.718168	4.396087	3.850176	3.688636	4.243394	4.953789	4.49911	3.986991	3.679443	3.539354	3.880073	3.986479	3.704149	4.683593	4.348379	4.122982	4.567024	11.92053	6.542003	5.5861	8.94096	8.637661	3.823611	3.518958	3.785694	4.092531	5.312171	7.174192	5.638579	6.054716	3.433566	7.127775	7.998667	7.854278	3.935859	4.574657	4.424645	3.650146
HMCB_SKIN	3.833154	3.659146	6.91782	7.683559	3.579308	4.651418	4.793669	8.190694	5.209356	3.574931	3.641531	5.714376	4.057299	5.442741	3.957783	3.675362	4.342525	3.723886	3.86138	6.802279	4.735449	4.337641	4.251198	3.603625	3.543244	3.804724	3.747531	3.404399	4.51041	4.004422	4.270147	4.897969	3.592399	4.267974	7.17229	6.60466	8.513745	3.663864	3.371726	3.258127	3.790831	6.794752	3.775527	3.897726	5.295166	3.674892	5.094868	8.189271	3.487412	3.839977	4.348853	3.920025	3.832315
FUOV1_OVARY	4.43623	3.856111	5.580712	8.390017	3.837247	5.037334	5.824623	10.14024	5.325469	3.918582	3.70783	6.125345	5.917559	6.085913	4.57047	3.391092	4.781108	4.050718	4.225135	4.830073	5.109209	4.588076	3.923791	3.666644	3.506984	4.257626	3.785646	3.797738	4.589086	3.929533	4.303109	4.930279	5.462909	3.952529	6.056878	4.952952	8.465946	3.76758	3.608363	3.514102	3.837839	4.331045	4.805543	3.72843	4.323318	4.064528	4.242723	6.561094	3.719441	3.829955	4.309414	4.202957	3.480275
MALME3M_SKIN	4.180044	3.872839	7.636175	6.903862	3.670959	9.250778	4.843249	7.552714	5.715948	4.173187	3.720752	5.938508	4.390416	5.576529	4.403256	3.656312	4.432857	3.939559	3.876408	3.868249	4.882017	4.890417	4.293176	3.676977	3.646629	4.257757	4.703392	3.753198	4.854703	4.118305	4.332744	5.006046	3.375828	4.414411	9.086405	5.185295	9.634631	3.915499	3.591893	3.558296	3.572176	8.868288	4.302744	5.097394	4.153874	3.631759	4.339524	7.679955	3.728449	3.940821	4.503354	4.105853	6.178498
KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.478875	4.158999	7.649286	9.491903	3.900467	8.088747	5.561817	4.444842	5.653853	3.470791	3.765126	6.217902	4.630256	5.545551	4.984161	3.525081	4.589775	4.061649	4.617179	4.78942	4.971332	4.867089	5.359229	4.279879	4.360264	4.31593	4.967108	4.03737	5.194865	4.321374	4.472539	5.028885	3.603189	3.990682	5.714105	8.637617	9.717442	4.207177	3.767974	3.883876	3.82165	5.02663	4.152477	4.03737	4.074453	3.54186	4.213559	7.600708	3.742064	4.252942	4.969674	4.346766	3.895849
