Gene	SecondarySource	PrimarySource
IL2RA	DrugBank;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368
PIK3CG	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
SRMS	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
SPTLC2	DrugBank	
SPTLC3	DrugBank	
SPN	DGI_membrane;Computationally obtained list of cell surface genes	GO;Publication_da_Cunha_etal_PMID_19805368
SPTLC1	DrugBank	
ABCD1	DGI_druggable	RussLampel
ABCD3	DGI_druggable	RussLampel
OR9I1	DGI_druggable	dGene RussLampel HopkinsGroom
RARS2	DGI_druggable	HopkinsGroom
ABCD4	DGI_druggable	RussLampel
TSPO2	DGI_druggable	RussLampel HopkinsGroom
KCNJ3	DGI_druggable;DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel;GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
OSGEP	DGI_druggable	dGene
SIRPA	Computationally obtained list of cell surface genes	Publication_da_Cunha_etal_PMID_19805368
SCNN1D	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
OR10T2	DGI_druggable	dGene RussLampel HopkinsGroom
MUC1	DGI_membrane;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes;TherapeuticTargetsDatabase	GO;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368;
FUT2	DGI_druggable	RussLampel HopkinsGroom
PPP2R2A	DrugBank	
FN1	Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
KCNF1	DGI_druggable	RussLampel HopkinsGroom
CAMKV	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
SPPL3	DGI_druggable	dGene
ITGA3	DGI_druggable;DGI_membrane;Computationally obtained list of cell surface genes	RussLampel HopkinsGroom;GO;Publication_da_Cunha_etal_PMID_19805368
TUBD1	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
PIPOX	DrugBank	
PIK3C3	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
KCNJ6	DGI_druggable;DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel;GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
OR2T11	DGI_druggable	dGene RussLampel HopkinsGroom
PI3	DGI_druggable	dGene
COL7A1	DGI_druggable	dGene RussLampel
ORM2	DrugBank	
OR1P1	DGI_druggable	dGene HopkinsGroom
FUT1	DGI_druggable;Computationally obtained list of cell surface genes	RussLampel HopkinsGroom;Publication_da_Cunha_etal_PMID_19805368
PARP14	DGI_druggable	HopkinsGroom
PARP15	DGI_druggable;DrugBank	HopkinsGroom;
PARP12	DGI_druggable	HopkinsGroom
OVCH2	DGI_druggable	dGene RussLampel HopkinsGroom
OVCH1	DGI_druggable	dGene RussLampel HopkinsGroom
BAK1	DGI_druggable	RussLampel HopkinsGroom
CKMT2	DrugBank	
SLC6A15	DGI_druggable	RussLampel HopkinsGroom
HDAC7	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
ANGPT4	DGI_druggable	RussLampel HopkinsGroom
MAG	TherapeuticTargetsDatabase	
MAF	DrugBank	
SPPL2A	DGI_druggable	dGene
CTBP1	DrugBank	
MAK	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
SPPL2B	DGI_druggable	dGene
KCNJ9	DGI_druggable;Curated dataset based on clinical trial drug-target interactions	RussLampel;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
MYO3A	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
ITGA9	DGI_druggable	RussLampel HopkinsGroom
UGCG	DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
MYO3B	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
ATP2A1	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
OR1B1	DGI_druggable	dGene RussLampel HopkinsGroom
ATP2A3	DGI_druggable	RussLampel HopkinsGroom
ALDH3A2	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
HSD11B1L	DGI_druggable	RussLampel HopkinsGroom
ITGA2	DGI_druggable;DGI_membrane;Computationally obtained list of cell surface genes;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;GO;Publication_da_Cunha_etal_PMID_19805368;
ALDH3A1	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
ITGA4	DGI_druggable;DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368;
ITGA5	DGI_druggable;DGI_membrane;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;GO;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368;
ITGA6	DGI_druggable;DGI_membrane;Computationally obtained list of cell surface genes	RussLampel HopkinsGroom;GO;Publication_da_Cunha_etal_PMID_19805368
ITGA7	DGI_druggable	RussLampel HopkinsGroom
TRHR	DGI_druggable;DGI_membrane	dGene RussLampel HopkinsGroom;GO
OR5D18	DGI_druggable	dGene RussLampel HopkinsGroom
MGST1	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
ECHS1	DrugBank	
APOA4	DGI_membrane	GO
TLR6	Computationally obtained list of cell surface genes	Publication_da_Cunha_etal_PMID_19805368
OR5D13	DGI_druggable	dGene RussLampel HopkinsGroom
ADH1B	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
UFSP1	DGI_druggable	dGene
OR5D14	DGI_druggable	dGene RussLampel HopkinsGroom
CYP2U1	DGI_druggable	RussLampel HopkinsGroom
UFSP2	DGI_druggable	dGene
XPO1	Rahul	Mutations may predict sensitivity to small molecule selective inhibitors of nuclear export (SINE) 
ATXN3L	DGI_druggable	dGene
DUSP23	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
LILRB3	Computationally obtained list of cell surface genes	Publication_da_Cunha_etal_PMID_19805368
LILRB2	DGI_membrane;Computationally obtained list of cell surface genes	GO;Publication_da_Cunha_etal_PMID_19805368
LILRB1	DGI_membrane;Computationally obtained list of cell surface genes	GO;Publication_da_Cunha_etal_PMID_19805368
DGAT1	DGI_druggable;TherapeuticTargetsDatabase	RussLampel;
TTR	DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
ENG	DGI_membrane;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes	GO;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368
PAMR1	DGI_druggable	dGene RussLampel HopkinsGroom
TTK	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank	;dGene RussLampel HopkinsGroom;;
OXT	DrugBank	
HRH4	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
GMDS	DrugBank	
HRH2	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
TTN	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene HopkinsGroom;
HRH1	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
TAS2R14	DGI_druggable	dGene
KSR1	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene HopkinsGroom;
KSR2	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
PRSS55	DGI_druggable	dGene RussLampel HopkinsGroom
PRSS54	DGI_druggable	dGene RussLampel HopkinsGroom
PRSS57	DGI_druggable	dGene HopkinsGroom
PRSS56	DGI_druggable	dGene
PRSS50	DGI_druggable	dGene HopkinsGroom
PRSS53	DGI_druggable	dGene HopkinsGroom
DNASE1L1	DGI_druggable	RussLampel
DNASE1L2	DGI_druggable	RussLampel
DNASE1L3	DGI_druggable	RussLampel
PRSS58	DGI_druggable	dGene HopkinsGroom
PPIG	DGI_druggable;DrugBank	RussLampel;
TMEM102	DGI_membrane	GO
MT-ND2	DrugBank	
PPIF	DGI_druggable;DrugBank	RussLampel;
CNTFR	TherapeuticTargetsDatabase	
GART	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
CD83	DGI_membrane;Computationally obtained list of cell surface genes	GO;Publication_da_Cunha_etal_PMID_19805368
TACR3	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
TACR2	DGI_druggable;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
TACR1	DGI_druggable;DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
ACYP2	DrugBank	
KCNH5	DGI_druggable	RussLampel HopkinsGroom
RPS6KA1	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank	;dGene RussLampel HopkinsGroom;;
RPS6KA2	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
RPS6KA3	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
RPS6KA4	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank	;dGene RussLampel HopkinsGroom;;
RPS6KA5	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
RPS6KA6	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
KCNH2	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
PISD	DrugBank	
PSMD14	DGI_druggable	dGene
HLCS	DrugBank	
IL5	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
KCNH8	DGI_druggable	RussLampel HopkinsGroom
ITGAV	DGI_druggable;DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
PPIB	DGI_druggable;DrugBank;TherapeuticTargetsDatabase	RussLampel;;
OR5T2	DGI_druggable	dGene RussLampel HopkinsGroom
ITGAL	DGI_druggable;DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes	RussLampel HopkinsGroom;GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368
ITGAM	DGI_druggable;Computationally obtained list of cell surface genes	RussLampel HopkinsGroom;Publication_da_Cunha_etal_PMID_19805368
NR0B2	DGI_druggable	dGene RussLampel HopkinsGroom
CD82	Computationally obtained list of cell surface genes	Publication_da_Cunha_etal_PMID_19805368
NOV	DrugBank	
ITGAD	DGI_druggable	RussLampel HopkinsGroom
PIK3CB	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
COMP	DrugBank	
GANAB	DGI_druggable	RussLampel HopkinsGroom
GHRH	Curated dataset based on clinical trial drug-target interactions	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
CD40LG	DGI_membrane;Computationally obtained list of cell surface genes	GO;Publication_da_Cunha_etal_PMID_19805368
ME3	DrugBank	
GHRL	Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
LRPAP1	DGI_membrane	GO
PRNP	DrugBank;Computationally obtained list of cell surface genes	;Publication_da_Cunha_etal_PMID_19805368
PKIA	DrugBank	
SMAD2	Rahul;DrugBank	May be prognostic in some GI tumors;
PNP	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
CYP27B1	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
SLC16A12	DGI_druggable	RussLampel
OR2H2	DGI_druggable	dGene HopkinsGroom
TMPRSS11A	DGI_druggable	dGene RussLampel HopkinsGroom
TMPRSS11B	DGI_druggable	dGene RussLampel HopkinsGroom
OR2H1	DGI_druggable	dGene RussLampel HopkinsGroom
TMPRSS11D	DGI_druggable	dGene RussLampel HopkinsGroom
TMPRSS11E	DGI_druggable	dGene RussLampel HopkinsGroom
TMPRSS11F	DGI_druggable	dGene RussLampel HopkinsGroom
TRAPPC4	DrugBank	
VARS	DGI_druggable;DrugBank	HopkinsGroom;
GPT2	DrugBank	
ARF1	DrugBank	
ARF6	DrugBank	
SLC36A1	DrugBank	
GPR112	DGI_druggable	dGene RussLampel HopkinsGroom
TRIM60	DGI_druggable	HopkinsGroom
GCSH	DrugBank	
CD84	Computationally obtained list of cell surface genes	Publication_da_Cunha_etal_PMID_19805368
IL15	Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
AGTR1	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
ACOX1	DrugBank	
NOD2	DGI_membrane	GO
ART1	DGI_membrane;DrugBank;Computationally obtained list of cell surface genes	GO;;Publication_da_Cunha_etal_PMID_19805368
SCN11A	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
EPAS1	TherapeuticTargetsDatabase	
GLTP	DrugBank	
MYLK4	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
ENOPH1	DrugBank	
MYLK2	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
MYLK3	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
RFPL1	DGI_druggable	HopkinsGroom
COX4I1	DrugBank	
IL3RA	DrugBank;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368
PRKAR1A	DrugBank	
SAR1B	DrugBank	
LDHAL6A	DrugBank	
SRPK1	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel;
BRS3	DGI_druggable	dGene RussLampel HopkinsGroom
SRPK3	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel;
SRPK2	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank	;dGene RussLampel;;
BDKRB1	DGI_druggable;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;
BDKRB2	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
OR6P1	DGI_druggable	dGene RussLampel HopkinsGroom
BPIFA2	DGI_druggable	RussLampel
BPIFA3	DGI_druggable	RussLampel
BPIFA1	DGI_druggable	RussLampel
FGL1	DGI_druggable	RussLampel HopkinsGroom
FGL2	DGI_druggable	RussLampel HopkinsGroom
CD96	Computationally obtained list of cell surface genes	Publication_da_Cunha_etal_PMID_19805368
ATP1A4	DGI_druggable	RussLampel HopkinsGroom
ATP1A3	DGI_druggable	RussLampel HopkinsGroom
ATP1A2	DGI_druggable	RussLampel HopkinsGroom
ATP1A1	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
AARS2	DrugBank	
MYL6B	DrugBank	
NPC1L1	DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
CDC42	DrugBank	
SPHK2	Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
SPHK1	Curated dataset based on clinical trial drug-target interactions	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
KRT12	DrugBank	
IPO11	Curated dataset based on clinical trial drug-target interactions	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
CALCRL	DGI_druggable;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
IPO13	Curated dataset based on clinical trial drug-target interactions	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
EEF1A1	DrugBank	
HMGB1	DGI_membrane;DrugBank	GO;
CUBN	DGI_membrane;DrugBank	GO;
NADSYN1	DrugBank	
CD93	DGI_membrane;Computationally obtained list of cell surface genes	GO;Publication_da_Cunha_etal_PMID_19805368
SPNS1	DGI_druggable	RussLampel
EEA1	DrugBank	
SPNS3	DGI_druggable	RussLampel
SPNS2	DGI_druggable	RussLampel
TSTD2	DGI_druggable	RussLampel HopkinsGroom
MAGEA3	Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
FRRS1	DGI_druggable	RussLampel
OR6B1	DGI_druggable	dGene RussLampel HopkinsGroom
OR6B2	DGI_druggable	dGene RussLampel HopkinsGroom
OR6B3	DGI_druggable	dGene RussLampel HopkinsGroom
AKR1B15	DGI_druggable	HopkinsGroom
RDH8	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
DPYD	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
AASS	DrugBank	
RDH5	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
SLC4A5	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
ALDH1A1	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
CLEC9A	DGI_membrane	GO
ANGEL1	DGI_druggable	RussLampel
MUC2	DrugBank	
DTYMK	DrugBank	
NDUFA4L2	DrugBank	
MID1	DGI_druggable	HopkinsGroom
OR13F1	DGI_druggable	dGene RussLampel HopkinsGroom
DHRS7B	DGI_druggable	RussLampel HopkinsGroom
KISS1R	DGI_druggable;DGI_membrane;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;GO;
TRIM49B	DGI_druggable	HopkinsGroom
TRIM65	DGI_druggable	HopkinsGroom
CD44	DGI_membrane;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes;TherapeuticTargetsDatabase	GO;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368;
CD47	Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes;TherapeuticTargetsDatabase	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368;
CA14	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
CA13	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
CA12	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
CA11	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
CA10	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
ATG4C	DGI_druggable	dGene
ATG4B	DGI_druggable	dGene
ATG4A	DGI_druggable	dGene
KYNU	DrugBank	
FPGS	DrugBank	
ATG4D	DGI_druggable	dGene
SLCO2A1	DGI_druggable;DrugBank	RussLampel;
DUSP28	DGI_druggable	RussLampel HopkinsGroom
TPSAB1	DGI_druggable;DrugBank	dGene HopkinsGroom;
CALY	DrugBank	
CYB5RL	DGI_druggable	HopkinsGroom
CFI	DGI_druggable	dGene HopkinsGroom
GLRA3	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
GLRA2	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
CFD	DGI_druggable;DrugBank;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;
CFB	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
SLC9B1	DGI_druggable	HopkinsGroom
OR5P3	DGI_druggable	dGene RussLampel HopkinsGroom
OR5P2	DGI_druggable	dGene RussLampel HopkinsGroom
ALOX15B	DGI_druggable	RussLampel HopkinsGroom
PYROXD1	DGI_druggable	RussLampel
CREBBP	Rahul;DrugBank;TherapeuticTargetsDatabase	Biallelic inactivation is Prognostic / Diagnostic in leukemia;;
GC	DrugBank	
GABRD	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
EWSR1	DGI_druggable;Rahul	RussLampel HopkinsGroom;Diagnostic in Ewing sarcoma
FKBP7	DGI_druggable	RussLampel HopkinsGroom
SERPINA12	DGI_druggable	dGene RussLampel HopkinsGroom
TRIM13	DrugBank	
PCK1	DrugBank	
TRIM15	DGI_druggable	HopkinsGroom
TRIM14	DGI_druggable	HopkinsGroom
TRIM17	DGI_druggable	HopkinsGroom
TRIM16	DGI_druggable	HopkinsGroom
PLEKHA1	DrugBank	
OR51Q1	DGI_druggable	dGene RussLampel HopkinsGroom
NQO2	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
CDO1	DrugBank	
CCRL2	DGI_druggable	dGene RussLampel HopkinsGroom
CYP4F8	DGI_druggable	RussLampel HopkinsGroom
OR10K2	DGI_druggable	dGene RussLampel HopkinsGroom
OR10K1	DGI_druggable	dGene RussLampel HopkinsGroom
SERPINA11	DGI_druggable	dGene RussLampel HopkinsGroom
RPL23	DrugBank	
MUC16	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
KIF2C	DrugBank	
COX7C	DrugBank	
CYP4F2	DGI_druggable	RussLampel HopkinsGroom
CYP4F3	DGI_druggable	RussLampel HopkinsGroom
HDAC4	DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
